 

stn;time;rre024i0
SLFFIR;2000102418;0.0
SLFFIR;2000102419;0.0
SLFFIR;2000102420;0.0
SLFFIR;2000102421;0.0
SLFFIR;2000102422;0.0
SLFFIR;2000102423;0.0
SLFFIR;2000102500;0.0
SLFFIR;2000102501;0.0
SLFFIR;2000102502;0.0
SLFFIR;2000102503;0.0
SLFFIR;2000102504;0.0
SLFFIR;2000102505;0.0
SLFFIR;2000102506;0.0
SLFFIR;2000102507;0.0
SLFFIR;2000102508;0.0
SLFFIR;2000102509;0.0
SLFFIR;2000102510;0.0
SLFFIR;2000102511;0.0
SLFFIR;2000102512;0.0
SLFFIR;2000102513;0.0
SLFFIR;2000102514;0.0
SLFFIR;2000102515;0.0
SLFFIR;2000102516;0.0
SLFFIR;2000102517;0.0
SLFFIR;2000102518;0.0
SLFFIR;2000102519;0.0
SLFFIR;2000102520;0.0
SLFFIR;2000102521;0.0
SLFFIR;2000102522;0.0
SLFFIR;2000102523;0.0
SLFFIR;2000102600;0.0
SLFFIR;2000102601;0.0
SLFFIR;2000102602;0.0
SLFFIR;2000102603;0.0
SLFFIR;2000102604;0.0
SLFFIR;2000102605;0.0
SLFFIR;2000102606;0.0
SLFFIR;2000102607;0.0
SLFFIR;2000102608;1.2
SLFFIR;2000102609;3.0
SLFFIR;2000102610;4.6
SLFFIR;2000102611;4.8
SLFFIR;2000102612;5.0
SLFFIR;2000102613;5.2
SLFFIR;2000102614;5.2
SLFFIR;2000102615;5.2
SLFFIR;2000102616;5.4
SLFFIR;2000102617;5.4
SLFFIR;2000102618;5.4
SLFFIR;2000102619;5.4
