time,EIG,KSE
1990-05-01,,136.3
1990-06-01,,232.1
1990-07-01,,82.4
1990-08-01,,135.3
1990-09-01,,81.6
1990-10-01,,135.4
1990-11-01,,142.6
1990-12-01,,90.8
1991-01-01,,63.3
1991-02-01,,62.6
1991-03-01,,98.4
1991-04-01,,161.4
1991-05-01,,178.0
1991-06-01,,186.2
1991-07-01,,184.0
1991-08-01,,45.8
1991-09-01,,125.5
1991-10-01,,94.8
1991-11-01,,80.3
1991-12-01,,209.2
1992-01-01,,23.8
1992-02-01,,159.0
1992-03-01,,238.5
1992-04-01,,102.8
1992-05-01,,63.0
1992-06-01,,275.9
1992-07-01,,182.5
1992-08-01,,130.8
1992-09-01,,131.9
1992-10-01,,163.1
1992-11-01,,161.3
1992-12-01,,109.5
1993-01-01,,57.6
1993-02-01,,55.0
1993-03-01,,59.7
1993-04-01,,145.5
1993-05-01,,145.2
1993-06-01,,185.5
1993-07-01,,207.0
1993-08-01,,140.1
1993-09-01,,245.5
1993-10-01,,177.9
1993-11-01,,58.4
1993-12-01,,179.6
1994-01-01,,207.2
1994-02-01,,45.9
1994-03-01,,52.6
1994-04-01,,177.2
1994-05-01,,240.0
1994-06-01,,152.4
1994-07-01,,146.0
1994-08-01,,176.6
1994-09-01,,164.9
1994-10-01,,53.6
1994-11-01,,65.6
1994-12-01,,111.4
1995-01-01,,256.6
1995-02-01,,229.4
1995-03-01,,320.8
1995-04-01,,148.0
1995-05-01,,227.1
1995-06-01,,136.0
1995-07-01,,140.3
1995-08-01,,302.7
1995-09-01,,156.6
1995-10-01,,4.0
1995-11-01,,98.5
1995-12-01,,94.2
1996-01-01,,13.6
1996-02-01,,107.0
1996-03-01,,58.7
1996-04-01,,93.0
1996-05-01,,207.0
1996-06-01,,120.2
1996-07-01,,199.2
1996-08-01,,234.0
1996-09-01,,101.9
1996-10-01,,162.3
1996-11-01,,220.5
1996-12-01,,67.9
1997-01-01,,55.5
1997-02-01,,89.4
1997-03-01,,94.9
1997-04-01,,125.3
1997-05-01,,94.0
1997-06-01,,215.1
1997-07-01,,310.6
1997-08-01,,115.1
1997-09-01,,65.3
1997-10-01,,79.9
1997-11-01,,78.4
1997-12-01,,141.1
1998-01-01,,83.3
1998-02-01,,36.0
1998-03-01,,64.0
1998-04-01,,181.6
1998-05-01,,97.3
1998-06-01,,205.7
1998-07-01,,139.5
1998-08-01,,104.6
1998-09-01,,164.1
1998-10-01,,174.3
1998-11-01,,126.0
1998-12-01,,68.5
1999-01-01,,154.9
1999-02-01,,323.0
1999-03-01,,87.3
1999-04-01,,181.1
1999-05-01,,243.8
1999-06-01,,219.1
1999-07-01,,82.7
1999-08-01,,149.3
1999-09-01,,144.3
1999-10-01,,45.6
1999-11-01,,113.5
1999-12-01,,171.6
2000-01-01,,67.2
2000-02-01,,173.1
2000-03-01,,117.4
2000-04-01,,105.9
2000-05-01,,71.8
2000-06-01,,105.0
2000-07-01,,208.7
2000-08-01,,153.3
2000-09-01,,144.5
2000-10-01,,303.2
2000-11-01,,130.8
2000-12-01,,30.2
2001-01-01,,107.9
2001-02-01,,51.9
2001-03-01,,159.0
2001-04-01,,271.9
2001-05-01,,86.9
2001-06-01,,260.0
2001-07-01,,182.4
2001-08-01,,155.6
2001-09-01,,192.4
2001-10-01,,53.4
2001-11-01,,103.5
2001-12-01,,47.0
2002-01-01,,17.9
2002-02-01,,108.8
2002-03-01,,104.5
2002-04-01,,78.2
2002-05-01,,304.7
2002-06-01,,228.6
2002-07-01,,238.4
2002-08-01,,245.1
2002-09-01,,209.0
2002-10-01,,80.2
2002-11-01,,310.6
2002-12-01,,116.8
2003-01-01,,129.1
2003-02-01,,88.6
2003-03-01,,33.3
2003-04-01,,84.2
2003-05-01,,150.4
2003-06-01,,127.1
2003-07-01,,155.0
2003-08-01,,84.6
2003-09-01,,66.2
2003-10-01,,167.4
2003-11-01,,53.8
2003-12-01,,116.7
2004-01-01,,171.2
2004-02-01,,55.6
2004-03-01,,98.9
2004-04-01,,123.6
2004-05-01,,150.2
2004-06-01,,198.6
2004-07-01,,117.8
2004-08-01,,215.2
2004-09-01,,93.7
2004-10-01,,102.3
2004-11-01,,124.2
2004-12-01,,91.1
2005-01-01,,225.8
2005-02-01,,177.0
2005-03-01,,62.5
2005-04-01,,114.7
2005-05-01,,163.3
2005-06-01,,136.5
2005-07-01,,122.0
2005-08-01,,294.9
2005-09-01,,67.5
2005-10-01,,78.3
2005-11-01,,33.1
2005-12-01,,122.0
2006-01-01,,41.6
2006-02-01,,35.0
2006-03-01,,175.4
2006-04-01,,136.8
2006-05-01,,223.2
2006-06-01,,94.3
2006-07-01,,119.9
2006-08-01,,220.8
2006-09-01,,112.9
2006-10-01,,60.4
2006-11-01,,55.3
2006-12-01,,57.8
2007-01-01,,109.0
2007-02-01,,71.4
2007-03-01,,116.0
2007-04-01,,43.4
2007-05-01,,303.5
2007-06-01,,246.4
2007-07-01,,262.0
2007-08-01,,252.4
2007-09-01,,78.9
2007-10-01,,67.2
2007-11-01,,112.8
2007-12-01,,108.9
2008-01-01,,91.1
2008-02-01,,42.8
2008-03-01,,189.9
2008-04-01,,199.4
2008-05-01,,165.5
2008-06-01,,170.2
2008-07-01,,199.8
