 

stn;time;rka150d0
BEKSE;20101019;0.0
BEKSE;20101020;6.7
BEKSE;20101021;0.0
BEKSE;20101022;0.0
BEKSE;20101023;0.0
BEKSE;20101024;12.8
BEKSE;20101025;2.1
BEKSE;20101026;0.0
BEKSE;20101027;0.0
BEKSE;20101028;0.0
BEKSE;20101029;0.0
BEKSE;20101030;0.0
BEKSE;20101031;0.1
BEKSE;20101101;0.1
BEKSE;20101102;0.1
BEKSE;20101103;0.0
BEKSE;20101104;0.0
BEKSE;20101105;0.0
BEKSE;20101106;0.0
BEKSE;20101107;4.2
BEKSE;20101108;2.1
BEKSE;20101109;0.0
BEKSE;20101110;7.1
BEKSE;20101111;5.8
BEKSE;20101112;10.1
BEKSE;20101113;0.0
BEKSE;20101114;0.0
BEKSE;20101115;11.7
BEKSE;20101116;16.4
BEKSE;20101117;0.0
BEKSE;20101118;5.3
BEKSE;20101119;1.4
BEKSE;20101120;0.3
BEKSE;20101121;0.1
BEKSE;20101122;8.8
BEKSE;20101123;2.6
BEKSE;20101124;1.8
BEKSE;20101125;0.1
BEKSE;20101126;4.2
BEKSE;20101127;0.0
BEKSE;20101128;0.0
BEKSE;20101129;1.0
BEKSE;20101130;0.4
BEKSE;20101201;4.0
BEKSE;20101202;0.0
BEKSE;20101203;0.1
BEKSE;20101204;0.0
BEKSE;20101205;0.4
BEKSE;20101206;5.4
BEKSE;20101207;1.8
BEKSE;20101208;0.3
BEKSE;20101209;6.8
BEKSE;20101210;0.7
BEKSE;20101211;0.3
BEKSE;20101212;0.2
BEKSE;20101213;0.3
BEKSE;20101214;0.4
BEKSE;20101215;0.1
BEKSE;20101216;0.0
BEKSE;20101217;2.4
BEKSE;20101218;0.0
BEKSE;20101219;0.0
BEKSE;20101220;0.0
BEKSE;20101221;0.0
BEKSE;20101222;0.0
BEKSE;20101223;0.3
BEKSE;20101224;20.8
BEKSE;20101225;1.1
BEKSE;20101226;0.0
BEKSE;20101227;0.0
BEKSE;20101228;7.2
BEKSE;20101229;0.1
BEKSE;20101230;0.0
BEKSE;20101231;0.0
BEKSE;20110101;0.0
BEKSE;20110102;0.0
BEKSE;20110103;0.0
BEKSE;20110104;0.0
BEKSE;20110105;0.0
BEKSE;20110106;0.0
BEKSE;20110107;0.0
BEKSE;20110108;0.0
BEKSE;20110109;1.4
BEKSE;20110110;3.4
BEKSE;20110111;1.4
BEKSE;20110112;8.8
BEKSE;20110113;6.8
BEKSE;20110114;0.0
BEKSE;20110115;0.1
BEKSE;20110116;0.0
BEKSE;20110117;0.0
BEKSE;20110118;0.0
BEKSE;20110119;4.3
BEKSE;20110120;1.5
BEKSE;20110121;0.1
BEKSE;20110122;0.0
BEKSE;20110123;0.0
BEKSE;20110124;0.0
BEKSE;20110125;0.1
BEKSE;20110126;0.3
BEKSE;20110127;0.0
BEKSE;20110128;0.0
BEKSE;20110129;0.0
BEKSE;20110130;0.2
BEKSE;20110131;0.0
BEKSE;20110201;0.0
BEKSE;20110202;0.0
BEKSE;20110203;0.0
BEKSE;20110204;0.0
BEKSE;20110205;0.0
BEKSE;20110206;0.0
BEKSE;20110207;0.0
BEKSE;20110208;0.0
BEKSE;20110209;0.0
BEKSE;20110210;0.0
BEKSE;20110211;0.0
BEKSE;20110212;0.0
BEKSE;20110213;0.0
BEKSE;20110214;0.0
BEKSE;20110215;1.2
BEKSE;20110216;0.0
BEKSE;20110217;0.0
BEKSE;20110218;0.0
BEKSE;20110219;0.0
BEKSE;20110220;11.4
BEKSE;20110221;1.2
BEKSE;20110222;0.0
BEKSE;20110223;0.0
BEKSE;20110224;8.4
BEKSE;20110225;0.0
BEKSE;20110226;2.0
BEKSE;20110227;12.2
BEKSE;20110228;1.8
BEKSE;20110301;0.0
BEKSE;20110302;0.0
BEKSE;20110303;0.0
BEKSE;20110304;0.0
BEKSE;20110305;0.0
BEKSE;20110306;0.0
BEKSE;20110307;0.0
BEKSE;20110308;0.0
BEKSE;20110309;0.0
BEKSE;20110310;0.0
BEKSE;20110311;0.0
BEKSE;20110312;0.0
BEKSE;20110313;0.0
BEKSE;20110314;0.0
BEKSE;20110315;0.0
BEKSE;20110316;2.5
BEKSE;20110317;24.0
BEKSE;20110318;0.4
BEKSE;20110319;13.7
BEKSE;20110320;0.0
BEKSE;20110321;0.0
BEKSE;20110322;0.0
BEKSE;20110323;0.0
BEKSE;20110324;0.0
BEKSE;20110325;0.7
BEKSE;20110326;0.1
BEKSE;20110327;0.1
BEKSE;20110328;5.2
BEKSE;20110329;0.0
BEKSE;20110330;3.6
BEKSE;20110331;3.0
BEKSE;20110401;0.0
BEKSE;20110402;0.0
BEKSE;20110403;0.9
BEKSE;20110404;11.1
BEKSE;20110405;0.0
BEKSE;20110406;0.0
BEKSE;20110407;0.0
BEKSE;20110408;0.0
BEKSE;20110409;0.0
BEKSE;20110410;0.0
BEKSE;20110411;0.0
BEKSE;20110412;16.0
BEKSE;20110413;0.7
BEKSE;20110414;4.7
BEKSE;20110415;0.0
BEKSE;20110416;0.0
BEKSE;20110417;0.0
BEKSE;20110418;0.0
BEKSE;20110419;0.0
BEKSE;20110420;0.0
BEKSE;20110421;0.0
BEKSE;20110422;0.0
BEKSE;20110423;0.0
BEKSE;20110424;1.8
BEKSE;20110425;0.0
BEKSE;20110426;0.0
BEKSE;20110427;0.7
BEKSE;20110428;0.0
BEKSE;20110429;0.0
BEKSE;20110430;2.2
BEKSE;20110501;1.3
BEKSE;20110502;4.3
BEKSE;20110503;11.0
BEKSE;20110504;0.0
BEKSE;20110505;0.0
BEKSE;20110506;0.0
BEKSE;20110507;0.0
BEKSE;20110508;0.6
BEKSE;20110509;0.0
BEKSE;20110510;0.0
BEKSE;20110511;4.2
BEKSE;20110512;11.4
BEKSE;20110513;3.1
BEKSE;20110514;22.4
BEKSE;20110515;16.2
BEKSE;20110516;0.1
BEKSE;20110517;0.4
BEKSE;20110518;0.0
BEKSE;20110519;0.0
BEKSE;20110520;0.0
BEKSE;20110521;0.0
BEKSE;20110522;4.7
